Address,District,Price,Living Area,Side Area,Rooms,Monthly Fee,Floor,Year of Building,Elevator,Balcony,Patio,Fireplace,Date of Sale,Days for Sale,Latitude,Longitude
Hökmossevägen 36A,Hökmossen,2500000,40.0,0.0,2.0,3390,3.0,1940.0,0,0,0,0,2024-04-15,2,59.29120229999999,17.9925446
Snickerigatan 12,Telefonplan,3750000,57.0,0.0,2.0,3896,4.0,2012.0,1,1,0,0,2024-05-30,0,59.299263,17.9887268
Pingstvägen 19,LM-Staden,2550000,35.0,0.0,1.5,3206,2.0,1940.0,0,0,0,0,2024-02-22,13,59.3015986,17.9986031
Tellusborgsvägen 75,Telefonplan,3450000,44.0,0.0,2.0,2802,4.0,2011.0,1,1,0,0,2024-06-07,12,59.29810490000001,18.0024547
Lötmogatan 7,Midsommarkransen,2000000,31.0,0.0,1.5,3576,1.0,1940.0,0,0,0,0,2024-02-14,33,59.30375769999999,18.0126671
Lötmogatan 1,Midsommarkransen,5900000,71.0,0.0,3.0,3844,3.0,1936.0,0,1,0,0,2024-03-19,6,59.303321,18.0119658
Snickerigatan 9,Telefonplan,5150000,72.0,0.0,3.0,4981,4.0,2015.0,1,1,0,0,2024-06-13,12,59.2989238,17.9889589
Nioörtsvägen 28B,Midsommarkransen,5500000,77.0,0.0,3.0,6097,3.0,1973.0,1,0,0,1,2024-06-14,14,59.3013038,18.0154929
Tellusborgsvägen 47B,Gamla Midsommarkransen,4300000,49.0,0.0,2.0,3129,1.0,1912.0,0,0,0,1,2024-06-12,17,59.3027907,18.006872
Nioörtsvägen 28C,Midsommarkransen,4850000,77.5,0.0,3.0,6146,2.0,1973.0,0,1,0,0,2024-01-28,154,59.3011988,18.0153006
Radiusbacken 23,Midsommarkransen,6100000,73.0,0.0,3.0,5155,1.0,1938.0,1,0,0,0,2024-07-08,71,59.29893010000001,18.0054637
Responsgatan 36,Telefonplan,2277000,27.0,0.0,2.0,2216,8.0,2023.0,1,0,0,0,2024-02-27,0,59.2974559,18.0031599
Valborgsmässovägen 6,LM-Staden,2875000,34.5,0.0,2.0,3293,2.0,1939.0,0,0,0,0,2024-06-20,470,59.30087939999999,18.0014048
Metronomgatan 5,Telefonplan,5210000,88.5,0.0,3.0,5070,1.0,2009.0,1,1,0,0,2024-04-23,10,59.2976773,18.0005464
Huvudfabriksgatan 8,Telefonplan,5900000,78.0,0.0,3.0,6112,4.0,2010.0,1,1,0,0,2024-01-08,7,59.3004647,17.9932883
Responsgatan 5,Telefonplan,6200000,59.0,19.0,3.0,2890,3.0,2007.0,1,1,0,0,2024-07-12,42,59.2976858,18.0030396
Midsommarvägen 9,Midsommarkransen,2800000,41.0,0.0,2.0,3351,1.0,1939.0,0,0,0,0,2024-05-17,27,59.30052070000001,18.0122527
Responsgatan 5,Telefonplan,6300000,77.0,0.0,3.0,2890,3.0,2007.0,1,1,0,0,2024-04-25,31,59.2976858,18.0030396
Aprilgatan 12C,Gamla Midsommarkransen,7350000,88.0,0.0,4.0,4260,1.0,1911.0,0,0,0,0,2024-06-30,78,59.3033537,18.0072645
Tellusborgsvägen 90,Midsommarkransen,2700000,30.0,0.0,1.0,2155,6.0,2012.0,1,0,0,0,2024-06-20,12,59.29883299999999,18.0020192
Hökmossevägen 24,Hökmossen,2520000,42.0,0.0,2.0,3403,3.0,1944.0,0,1,0,0,2024-01-17,103,59.29194859999999,17.9949686
Tellusborgsvägen 44,Midsommarkransen,8500000,95.0,0.0,5.0,5897,3.0,2023.0,1,0,0,0,2024-05-09,0,59.30372819999999,18.0067527
Midsommarvägen 21,Midsommarkransen,3100000,44.0,0.0,2.0,3371,1.0,1943.0,0,1,0,0,2024-08-20,11,59.30003749999999,18.0092663
Nioörtsvägen 40,Midsommarkransen,3850000,76.0,0.0,3.0,4624,,1984.0,1,0,1,0,2024-02-23,276,59.30056810000001,18.0136925
Vattenledningsvägen 81,Midsommarkransen,3050000,43.0,0.0,2.0,3168,2.0,1946.0,0,1,0,0,2024-03-27,0,59.3004523,18.0064157
Oktobergatan 4B,Gamla Midsommarkransen,4000000,48.0,0.0,1.0,3070,1.0,1910.0,0,0,0,1,2024-08-28,11,59.30197749999999,18.006574
Tångvägen 33,Hökmossen,3050000,54.5,0.0,3.0,4254,2.0,1944.0,0,1,0,0,2024-08-22,12,59.2919157,17.9942216
Svandammsvägen 21A,Midsommarkransen,3055000,39.0,0.0,2.0,2638,0.5,1938.0,0,0,0,0,2024-01-31,12,59.3014243,18.0112498
Klaviaturgatan 10,Telefonplan,8625000,116.5,0.0,5.0,7233,5.0,2010.0,1,1,0,0,2024-05-25,15,59.2973804,18.0005209
Midsommarparken 5B,Midsommarkransen,5475000,85.0,10.0,3.0,6123,3.0,1939.0,0,0,0,0,2024-06-01,14,59.3010153,18.0127852
Klensmedsvägen 9,Hökmossen,2830000,43.0,0.0,2.0,2718,3.0,1944.0,0,0,0,0,2024-04-24,11,59.29444909999999,17.9982519
Valsbergs gränd 8,Midsommarkransen,2800000,44.0,0.0,2.0,3508,2.0,1943.0,0,1,0,0,2024-01-19,11,59.300217,18.0097965
Oktavgatan 8,Telefonplan,5250000,73.5,0.0,3.0,4356,4.0,2010.0,1,1,0,0,2024-04-26,5,59.29732619999999,17.9999647
Midsommargränd 10,Midsommarkransen,5600000,67.0,0.0,3.0,3835,2.0,2009.0,1,1,0,0,2024-08-20,5,59.29912589999999,18.0037549
Lötmogatan 7,Midsommarkransen,2500000,27.0,0.0,2.0,3114,3.0,1940.0,1,1,0,0,2024-08-23,13,59.30375769999999,18.0126671
Nioörtsvägen 42,Midsommarkransen,4150000,64.5,0.0,3.0,4188,3.0,1983.0,1,0,0,0,2024-08-15,13,59.30050469999999,18.013511
Valborgsmässovägen 5,LM-Staden,3700000,51.0,0.0,2.0,4232,2.0,1940.0,0,0,0,0,2024-05-03,7,59.30070019999999,18.0017345
Vattenledningsvägen 23,Midsommarkransen,2700000,31.0,0.0,1.0,2505,1.0,1938.0,0,0,0,0,2024-04-08,459,59.3042045,18.0118511
Hökmossevägen 5,Hökmossen,2300000,42.5,0.0,2.0,3404,2.0,,0,1,0,0,2024-05-08,35,59.2928033,17.9973515
Midsommarparken 5B,Midsommarkransen,2975000,35.0,0.0,2.0,2747,2.0,1939.0,0,0,0,0,2024-07-24,61,59.3010153,18.0127852
Responsgatan 18,Telefonplan,2755000,46.0,0.0,2.0,3135,2.0,2019.0,1,1,0,0,2024-09-11,0,59.29709949999999,18.0038945
Responsgatan 18,Telefonplan,2510000,37.0,0.0,1.5,2522,4.0,2019.0,1,1,0,0,2024-07-13,50,59.29709949999999,18.0038945
Tellusborgsvägen 92,Telefonplan,2700000,30.0,0.0,1.0,2155,6.0,2012.0,1,1,0,0,2024-07-09,0,59.2986728,18.0014302
Responsgatan 14,Telefonplan,2650000,46.0,0.0,2.0,3135,1.0,2019.0,1,0,0,0,2024-06-07,68,59.29665749999999,18.0030007
Midsommarparken 5A,Midsommarkransen,3000000,36.0,0.0,2.0,2827,3.0,1939.0,0,0,0,0,2024-08-08,10,59.3009905,18.0130217
Fastlagsvägen 59,Midsommarkransen,5350000,68.0,0.0,3.0,5717,1.0,1942.0,0,1,0,0,2024-05-06,14,59.3030945,17.9932451
Midsommarvägen 9,Midsommarkransen,2950000,42.0,0.0,2.0,3420,2.0,1935.0,0,0,0,0,2024-08-14,12,59.30052070000001,18.0122527
Tegelbruksvägen 7,Midsommarkransen,5480000,60.0,0.0,2.0,4394,3.0,1946.0,1,1,0,0,2024-05-20,10,59.30283069999999,18.0133449
Tegelbruksvägen 1,Midsommarkransen,3500000,40.0,0.0,2.0,1941,3.0,1929.0,0,0,0,0,2024-05-21,23,59.3021223,18.0145885
Kransbindarvägen 18,LM-Staden,3850000,50.0,0.0,2.0,3518,2.0,1939.0,1,0,0,0,2024-05-17,6,59.30241809999999,18.0023637
Tellusborgsvägen 90,Midsommarkransen,2750000,35.0,0.0,1.5,2586,5.0,2012.0,1,1,0,0,2024-04-17,10,59.29883299999999,18.0020192
Bäckvägen 46,Midsommarkransen,3440000,52.0,0.0,2.0,3363,1.0,1943.0,1,0,0,0,2024-02-08,6,59.30342750000001,17.9993499
Radiusbacken 49,Midsommarkransen,2600000,39.0,0.0,2.0,1990,3.0,2020.0,1,1,0,0,2024-03-01,35,59.2984136,18.0051369
Responsgatan 12,Telefonplan,2800000,46.0,0.0,2.0,3135,3.0,2019.0,1,1,0,0,2024-06-14,13,59.29645899999999,18.0027115
Kransbindarvägen 8,LM-Staden,2700000,38.0,0.0,2.0,2888,1.0,1939.0,0,0,0,0,2024-06-18,26,59.3019193,18.0026817
Bäckvägen 69,Midsommarkransen,3400000,44.5,0.0,2.0,3850,3.0,,0,1,0,0,2024-05-10,7,59.30231740000001,17.9954765
Midsommarvägen 35,Midsommarkransen,6000000,71.0,0.0,3.0,3336,1.0,2007.0,1,1,0,0,2024-06-19,8,59.2993105,18.0058592
Vattenledningsvägen 42B,Gamla Midsommarkransen,5300000,59.0,0.0,2.0,3586,2.0,1910.0,0,0,0,0,2024-02-22,0,59.3027085,18.0090985
Responsgatan 14,Telefonplan,2495000,34.0,0.0,1.0,2318,1.0,2020.0,1,0,1,0,2024-04-17,24,59.29665749999999,18.0030007
Responsgatan 14,Telefonplan,2450000,33.0,0.0,1.0,2249,3.0,2019.0,1,1,0,0,2024-08-01,35,59.29665749999999,18.0030007
Vattenledningsvägen 53,Midsommarkransen,1870000,24.0,0.0,1.0,1995,,1944.0,0,0,0,0,2024-01-11,189,59.30224689999999,18.0089013
Valborgsmässovägen 30,LM-Staden,2695000,34.5,0.0,2.0,3293,3.0,1940.0,0,0,0,0,2024-06-13,25,59.2998511,17.9990882
Kyndelsmässogränd 11,Midsommarkransen,3275000,42.0,0.0,2.0,3613,1.0,1944.0,0,1,0,0,2024-01-31,12,59.29964279999999,18.0025094
Fastlagsvägen 40,Midsommarkransen,7650000,104.0,0.0,4.0,5333,2.0,1992.0,1,1,0,0,2024-09-06,2,59.303802,17.9952748
Tellusborgsvägen 88,Midsommarkransen,2975000,39.0,0.0,2.0,3461,2.0,1944.0,0,1,0,0,2024-01-10,12,59.2993519,18.0027393
Cedergrensvägen 29,LM-Staden,3330000,51.0,0.0,2.0,3428,1.0,1940.0,0,0,0,0,2024-01-31,10,59.30157449999999,18.0001476
Svandammsvägen 17A,Midsommarkransen,2660000,31.0,0.0,2.0,2494,1.0,1938.0,1,1,0,0,2024-03-14,12,59.3013018,18.0131373
Fastlagsvägen 46,Midsommarkransen,6535000,87.0,0.0,3.5,4597,-1.0,1992.0,1,1,0,0,2024-07-11,10,59.3035271,17.9928136
Tellusborgsvägen 94,Telefonplan,3035000,38.0,0.0,2.0,2596,4.0,2015.0,1,0,0,0,2024-05-21,15,59.29843750000001,18.0022255
Responsgatan 36,Telefonplan,2250000,27.0,0.0,2.0,2216,4.0,2023.0,1,1,0,0,2024-05-23,13,59.2974559,18.0031599
Adventsvägen 3,Midsommarkransen,2675000,31.0,0.0,1.0,2589,4.0,2017.0,1,1,0,0,2024-03-26,65,59.3008901,18.0071909
Bäckvägen 41,Midsommarkransen,2085000,64.5,0.0,2.0,5182,5.0,1994.0,1,1,0,0,2024-03-05,11,59.30338070000001,18.0013371
Lötmogatan 7,Midsommarkransen,2450000,31.0,0.0,2.0,3576,1.0,1940.0,1,0,1,0,2024-08-15,17,59.30375769999999,18.0126671
Tellusborgsvägen 81,Telefonplan,5375000,73.0,0.0,3.0,4648,2.0,2011.0,1,1,0,0,2024-03-14,0,59.29765769999999,18.0019759
Tonvalsslingan 15,Telefonplan,2448000,32.0,0.0,2.0,2597,3.0,2023.0,1,1,0,0,2024-04-26,7,59.2975935,18.0040276
Responsgatan 18,Telefonplan,2605000,37.0,0.0,1.5,2622,3.0,2019.0,1,1,0,0,2024-09-04,18,59.29709949999999,18.0038945
Tegelbruksvägen 7,Midsommarkransen,4720000,60.0,0.0,2.0,4394,3.0,1946.0,1,1,0,0,2024-05-07,12,59.30283069999999,18.0133449
Trettondagsvägen 14,LM-Staden,4900000,70.5,0.0,3.0,5566,2.0,1939.0,0,0,0,0,2024-04-23,11,59.3002694,17.9984691
Bäckvägen 105,Midsommarkransen,2830000,45.0,0.0,2.0,6000,2.0,1940.0,0,0,0,0,2024-02-25,45,59.30137969999999,17.9917349
Bäckvägen 83,Midsommarkransen,2800000,41.0,0.0,2.0,3506,,1943.0,0,0,0,0,2024-02-14,19,59.30203089999999,17.9937635
Vattenledningsvägen 83,Midsommarkransen,2800000,41.0,0.0,2.0,3010,1.0,1946.0,0,1,0,0,2024-03-26,51,59.3003483,18.0064186
Valborgsmässovägen 20A,LM-Staden,3300000,50.0,0.0,2.0,3682,2.0,2018.0,0,0,0,0,2024-01-30,19,59.3004378,17.9999929
Valsbergs gränd 7,Midsommarkransen,2710000,32.0,0.0,1.0,2753,1.0,1935.0,0,0,0,0,2024-04-30,11,59.3003867,18.0105232
Responsgatan 18,Telefonplan,2250000,33.0,0.0,1.0,2585,1.0,2020.0,1,0,1,0,2024-01-23,94,59.29709949999999,18.0038945
Adventsvägen 3,Midsommarkransen,3820000,48.0,0.0,2.0,4019,3.0,2017.0,1,1,0,0,2024-04-20,15,59.3008901,18.0071909
Kyndelsmässogränd 14,Midsommarkransen,4200000,54.5,0.0,2.0,4826,3.0,,0,0,0,0,2024-04-16,1,59.29994049999999,18.0026153
Midsommarvägen 19,Midsommarkransen,4075000,53.0,0.0,3.0,4159,2.0,,0,0,0,0,2024-05-30,11,59.3003942,18.0092154
Tångvägen 31,Hökmossen,2710000,57.0,0.0,2.0,4297,,1944.0,0,1,0,0,2024-01-14,72,59.2921102,17.9946884
Vattenledningsvägen 46H,Gamla Midsommarkransen,10550000,94.0,0.0,4.0,5374,3.0,1910.0,0,0,0,1,2024-08-27,12,59.3019626,18.0072934
Radiusbacken 39,Midsommarkransen,2350000,29.0,0.0,1.5,2223,,,1,0,0,0,2024-01-18,84,59.2981749,18.0049208
Flygelgatan 4,Telefonplan,3300000,41.0,0.0,2.0,3140,6.0,2012.0,1,0,0,0,2024-07-17,45,59.29830860000001,18.0015267
Bäckvägen 80,Midsommarkransen,3200000,47.0,0.0,2.0,3411,,1942.0,0,0,0,0,2024-05-31,1,59.3023176,17.993517
Tellusborgsvägen 92,Telefonplan,2800000,35.0,0.0,1.5,2586,1.0,2012.0,1,1,0,0,2024-08-29,3,59.2986728,18.0014302
Nyårsvägen 18,Midsommarkransen,5850000,76.0,0.0,3.0,4843,2.0,1947.0,0,1,0,0,2024-03-07,27,59.3029738,17.9940321
Tellusborgsvägen 90,Midsommarkransen,2800000,35.0,0.0,1.5,2586,1.0,2012.0,1,1,0,0,2024-08-31,10,59.29883299999999,18.0020192
Majstångsvägen 3,Gamla Midsommarkransen,6550000,66.0,0.0,3.0,3968,1.0,1910.0,0,0,0,1,2024-02-08,21,59.302936,18.0089839
Bäckvägen 75,Midsommarkransen,3050000,44.5,0.0,2.0,3790,3.0,1943.0,0,1,0,0,2024-03-27,11,59.30193500000001,17.9949334
Responsgatan 14,Telefonplan,2800000,46.0,0.0,2.0,3135,5.0,2019.0,1,1,0,0,2024-03-15,0,59.29665749999999,18.0030007
Pingstvägen 34,LM-Staden,3500000,46.0,0.0,2.0,3912,3.0,1940.0,0,0,0,0,2024-05-09,11,59.3017246,17.9971426
Oktobergatan 6A,Gamla Midsommarkransen,12100000,134.0,0.0,5.0,8284,1.0,1910.0,0,0,0,1,2024-08-30,13,59.30204379999999,18.0064399
Oktavgatan 8,Telefonplan,2495000,36.0,0.0,1.0,2269,3.0,2009.0,0,0,0,0,2024-01-18,28,59.29732619999999,17.9999647
Svandammsvägen 10,Midsommarkransen,3050000,37.0,0.0,2.0,2756,4.0,1936.0,0,0,0,0,2024-02-12,12,59.30188119999999,18.0142112
Midsommargränd 2,Midsommarkransen,3625000,46.0,0.0,2.0,2670,1.0,2009.0,1,0,1,0,2024-08-15,0,59.29932840000001,18.004737
Midsommarvägen 80,Midsommarkransen,3010000,42.0,0.0,2.0,3424,2.0,1944.0,0,1,0,0,2024-07-13,56,59.2998704,18.0049275
Cedergrensvägen 4,Midsommarkransen,2650000,28.0,0.0,1.0,2525,1.0,2020.0,1,1,0,0,2024-09-05,212,59.3033533,18.0027914
Tellusborgsvägen 75,Telefonplan,5000000,74.0,0.0,3.0,4712,1.0,2011.0,0,0,1,0,2024-02-01,18,59.29810490000001,18.0024547
Tellusborgsvägen 102,Telefonplan,6030000,82.0,0.0,3.0,4786,2.0,2010.0,1,1,0,0,2024-01-30,8,59.2972035,18.0008638
Adventsvägen 3,Midsommarkransen,2830000,32.0,0.0,1.0,2589,5.0,2017.0,1,1,0,0,2024-05-17,18,59.3008901,18.0071909
Bäckvägen 67,Midsommarkransen,3670000,52.0,0.0,3.0,4208,3.0,1945.0,0,1,0,0,2024-01-30,11,59.30243110000001,17.9960002
Responsgatan 36,Telefonplan,1827000,22.0,0.0,1.0,1795,3.0,2023.0,1,1,0,0,2024-02-27,39,59.2974559,18.0031599
Midsommarvägen 17,Midsommarkransen,3050000,44.0,0.0,2.0,3508,2.0,1943.0,0,1,0,0,2024-05-29,0,59.3006559,18.009769
Borrvägen 20,Hökmossen,3100000,53.5,0.0,3.0,3796,1.0,1944.0,0,0,0,0,2024-02-21,11,59.2932707,17.9969481
Bäckvägen 73,Midsommarkransen,3300000,44.5,0.0,2.0,3790,2.0,1940.0,0,0,0,0,2024-06-14,19,59.301993,17.9952562
Valborgsmässovägen 20B,LM-Staden,3950000,49.0,0.0,2.0,3622,2.0,2017.0,1,0,1,0,2024-06-03,13,59.3004475,17.9999159
Tångvägen 24,Hökmossen,2600000,42.5,0.0,2.0,3404,2.0,1944.0,0,1,0,0,2024-01-31,6,59.293232,17.9958429
Cedergrensvägen 22,LM-Staden,2670000,35.0,0.0,2.0,3206,3.0,1940.0,0,0,0,0,2024-05-01,0,59.3022934,18.0008798
Tellusborgsvägen 92,Telefonplan,2540000,34.0,0.0,1.5,2514,1.0,2012.0,1,1,0,0,2024-01-02,32,59.2986728,18.0014302
Tellusborgsvägen 98,Telefonplan,6175000,75.0,0.0,3.0,5075,4.0,1917.0,1,1,0,0,2024-03-21,9,59.29735109999999,18.0010957
Hökmossevägen 9,Hökmossen,2800000,53.5,0.0,3.0,4091,2.0,1944.0,0,1,0,0,2024-06-11,10,59.2925115,17.996938
Hökmossevägen 30,Hökmossen,2550000,42.0,0.0,2.0,3403,3.0,1944.0,0,1,0,0,2024-05-01,10,59.2916584,17.9943489
Ture Wennerholms Torg 4,Telefonplan,3650000,61.0,0.0,2.0,5111,2.0,2009.0,1,1,0,0,2024-02-20,25,59.3003605,17.9948006
Kransbindarvägen 18,LM-Staden,3570000,47.0,0.0,2.0,3360,1.0,1939.0,1,0,0,0,2024-07-25,9,59.30241809999999,18.0023637
Svandammsvägen 40,Midsommarkransen,8750000,95.0,18.0,4.0,6583,2.0,1936.0,1,1,0,1,2024-06-06,13,59.3013475,18.0077298
Hökmossevägen 26,Hökmossen,2500000,42.0,0.0,2.0,3403,3.0,1944.0,0,1,0,0,2024-06-27,26,59.2917522,17.9945574
Tellusborgsvägen 33,Midsommarkransen,3540000,49.0,0.0,2.0,2835,3.0,1949.0,0,1,0,0,2024-02-08,13,59.3041404,18.0127379
Adventsvägen 3,Midsommarkransen,2760000,31.0,0.0,1.5,2589,3.0,2017.0,1,0,0,0,2024-06-07,13,59.3008901,18.0071909
Tonvalsslingan 15,Telefonplan,2430000,32.0,0.0,2.0,2597,2.0,2023.0,0,0,0,0,2024-02-28,0,59.2975935,18.0040276
Bäckvägen 59,Midsommarkransen,3050000,46.0,0.0,2.0,3746,2.0,1945.0,0,1,0,0,2024-05-02,16,59.30271940000001,17.9973893
Svandammsplan 8,LM-Staden,2170000,24.0,0.0,1.0,2501,2.0,1940.0,0,0,0,0,2024-05-16,13,59.30078959999999,18.0029264
Bäckvägen 79,Midsommarkransen,3350000,44.5,0.0,2.0,3790,,,0,0,0,0,2024-04-04,167,59.3021514,17.9945105
Tellusborgsvägen 70,LM-Staden,3275000,40.0,0.0,2.0,2531,2.0,1939.0,0,0,0,0,2024-09-04,0,59.3011594,18.0033687
Responsgatan 14,Telefonplan,4495000,46.0,46.0,2.0,5586,,2020.0,1,1,1,0,2024-04-15,17,59.29665749999999,18.0030007
Tvingvägen 26,Hökmossen,1700000,27.0,0.0,1.0,1707,2.0,1942.0,0,0,0,0,2024-04-26,0,59.29390290000001,17.9987056
Radiusbacken 19,Midsommarkransen,6900000,92.0,0.0,4.0,5215,1.0,2009.0,1,1,0,0,2024-01-25,4,59.2988703,18.0055789
Tellusborgsvägen 92,Telefonplan,2675000,33.0,0.0,1.5,2370,4.0,2012.0,1,1,0,0,2024-09-03,48,59.2986728,18.0014302
Pingstvägen 12,LM-Staden,4100000,57.0,0.0,3.0,4703,1.0,1940.0,0,1,0,0,2024-05-10,7,59.3016706,18.0010841
Valborgsmässovägen 24,LM-Staden,2700000,34.5,0.0,2.0,3293,3.0,1940.0,0,0,0,0,2024-04-10,112,59.29998369999999,17.9993905
Responsgatan 18,Telefonplan,2430000,37.0,0.0,1.5,2522,5.0,2019.0,1,1,0,0,2024-05-21,12,59.29709949999999,18.0038945
Tellusborgsvägen 98,Telefonplan,6650000,75.0,15.0,3.0,5075,4.0,1917.0,1,1,0,0,2024-06-13,11,59.29735109999999,18.0010957
Responsgatan 14,Telefonplan,2810000,46.0,0.0,2.0,3135,4.0,2019.0,1,1,0,0,2024-03-30,21,59.29665749999999,18.0030007
Responsgatan 18,Telefonplan,2625000,46.0,0.0,2.0,3135,4.0,2019.0,1,1,0,0,2024-03-15,13,59.29709949999999,18.0038945
Oktobergatan 4A,Gamla Midsommarkransen,3175000,36.0,0.0,1.5,2505,2.0,1911.0,0,0,0,1,2024-03-23,14,59.30190839999999,18.0067666
Valsbergs gränd 9,Midsommarkransen,2595000,31.0,0.0,1.0,2372,2.0,1936.0,0,0,0,0,2024-02-16,174,59.30017429999999,18.0106152
Responsgatan 14,Telefonplan,2745000,46.0,0.0,2.0,3135,3.0,2019.0,1,1,0,0,2024-06-17,36,59.29665749999999,18.0030007
Hökmossevägen 24,Hökmossen,2520000,42.0,0.0,2.0,3403,2.0,1944.0,0,1,0,0,2024-09-05,19,59.29194859999999,17.9949686
Vattenledningsvägen 71,Midsommarkransen,3350000,39.5,0.0,2.0,2031,2.0,1938.0,1,1,0,0,2024-05-22,10,59.30087169999999,18.006189
Radiusbacken 31,Midsommarkransen,4800000,69.0,0.0,4.0,5290,3.0,2019.0,1,0,0,0,2024-06-11,0,59.29823739999999,18.0044817
Fastlagsvägen 25,Midsommarkransen,5850000,68.0,0.0,3.0,5310,3.0,1944.0,0,1,0,0,2024-06-30,6,59.3037721,17.9984679
Lm Ericssons väg 20,Telefonplan,7600000,85.0,0.0,4.0,4284,2.0,2022.0,1,1,0,0,2024-05-24,5,59.29964029999999,17.9947655
Huvudfabriksgatan 6,Telefonplan,5400000,79.5,0.0,3.0,6186,4.0,2009.0,1,1,0,0,2024-04-15,24,59.30050180000001,17.9936123
Tångvägen 44,Hökmossen,3150000,56.0,0.0,3.0,4107,3.0,1944.0,0,1,0,0,2024-04-30,40,59.292005,17.9935857
Cedergrensvägen 44,LM-Staden,3720000,51.0,0.0,2.0,4232,3.0,1940.0,0,0,0,0,2024-02-13,8,59.30093849999999,17.9977658
Midsommargränd 2,Midsommarkransen,3585000,45.0,0.0,2.0,2766,2.0,2009.0,1,1,0,0,2024-01-05,32,59.29932840000001,18.004737
Tellusborgsvägen 65E,Midsommarkransen,4695000,60.0,0.0,2.0,2273,4.0,2009.0,1,1,0,0,2024-05-31,34,59.299273,18.0037743
Svandammsvägen 17A,Midsommarkransen,5750000,56.0,21.0,3.0,4264,4.0,1939.0,1,1,0,0,2024-03-20,10,59.3013018,18.0131373
Bäckvägen 73,Midsommarkransen,3175000,44.5,0.0,2.0,3790,2.0,1940.0,0,0,0,0,2024-04-12,12,59.301993,17.9952562
Lötmogatan 5,Midsommarkransen,7550000,91.0,0.0,4.0,4707,1.0,1935.0,1,1,0,0,2024-06-11,13,59.303565,18.0124504
Lm Ericssons väg 24,Telefonplan,2770000,34.0,0.0,1.5,1714,2.0,2022.0,1,0,0,0,2024-09-10,102,59.29927939999999,17.995053
Nyårsvägen 16,Midsommarkransen,2740000,35.0,0.0,2.0,2190,1.0,1947.0,0,0,0,0,2024-03-22,14,59.3028249,17.993877
Oktobergatan 12,LM-Staden,3025000,41.0,0.0,2.0,2614,1.0,1939.0,0,0,0,0,2024-03-28,35,59.30233029999999,18.004811
Tellusborgsvägen 90,Midsommarkransen,2730000,37.0,0.0,1.5,2730,4.0,2012.0,1,1,0,0,2024-03-07,20,59.29883299999999,18.0020192
Snickerigatan 11,Telefonplan,6600000,89.0,0.0,3.0,5750,6.0,2015.0,1,1,0,0,2024-08-22,14,59.2991127,17.9889052
Cedergrensvägen 4,Midsommarkransen,8000000,87.0,0.0,4.0,6078,1.0,2020.0,1,1,0,0,2024-08-30,153,59.3033533,18.0027914
Cedergrensvägen 38,LM-Staden,2920000,35.0,0.0,2.0,3206,3.0,,0,0,0,0,2024-08-22,9,59.30115989999999,17.9985857
Tegelbruksvägen 1,Midsommarkransen,5000000,58.0,0.0,2.0,2766,2.0,1929.0,0,0,0,0,2024-02-07,12,59.3021223,18.0145885
Tellusborgsvägen 92,Telefonplan,2700000,30.0,0.0,1.5,2155,6.0,2012.0,1,1,0,0,2024-07-04,10,59.2986728,18.0014302
Cedergrensvägen 28,LM-Staden,2800000,35.0,0.0,1.0,3206,2.0,1940.0,0,1,0,0,2024-06-13,12,59.3018423,18.0000717
Fastlagsvägen 46,Midsommarkransen,2810000,45.0,0.0,2.0,2778,1.0,1992.0,1,1,0,0,2024-02-13,11,59.3035271,17.9928136
Trettondagsvägen 10,LM-Staden,8050000,102.0,0.0,4.0,6856,2.0,1939.0,0,0,0,0,2024-03-27,12,59.3002224,17.9989911
Responsgatan 36,Telefonplan,2556000,32.0,0.0,2.0,2614,5.0,2023.0,1,0,0,0,2024-03-11,7,59.2974559,18.0031599
Bäckvägen 52,Midsommarkransen,3900000,62.0,0.0,3.0,3742,1.0,1943.0,0,0,0,0,2024-01-18,13,59.30323689999999,17.9983119
Tångvägen 30,Hökmossen,2610000,45.0,0.0,2.0,3137,2.0,1944.0,0,1,0,0,2024-06-19,12,59.29282139999999,17.9953434
Nioörtsvägen 28C,Midsommarkransen,3000000,62.5,0.0,2.0,4954,1.0,1973.0,1,1,0,0,2024-08-23,93,59.3011988,18.0153006
Midsommarvägen 48,Midsommarkransen,4200000,53.0,0.0,2.0,4535,3.0,1944.0,0,1,0,0,2024-09-02,12,59.30062090000001,18.0077566
Responsgatan 12,Telefonplan,3250000,54.0,0.0,2.0,3680,3.0,2019.0,1,1,0,0,2024-08-16,47,59.29645899999999,18.0027115
Pingstvägen 44,LM-Staden,3035000,35.0,0.0,2.0,3206,,1940.0,0,0,0,0,2024-06-04,203,59.3013316,17.9969935
Vattenledningsvägen 61,Gamla Midsommarkransen,3650000,48.0,0.0,2.0,4415,1.0,1913.0,0,0,0,0,2024-08-27,18,59.3017517,18.0075873
Responsgatan 14,Telefonplan,2395000,34.0,0.0,1.0,2663,2.0,2019.0,0,1,0,0,2024-01-23,18,59.29665749999999,18.0030007
Tångvägen 22,Hökmossen,2700000,42.5,0.0,2.0,3175,1.0,1944.0,0,0,0,0,2024-05-29,7,59.29356250000001,17.9959245
Tångvägen 23,Hökmossen,2610000,42.5,0.0,,3404,2.0,1944.0,0,0,0,0,2024-08-30,16,59.29267429999999,17.9959391
